Repository,ReleaseId,TagName,ReleaseName,PublishedAt,PublishedAtKST,IsPreRelease,IsDraft,AuthorLogin,AuthorId,BodySnippet,AssetsCount,TotalDownloadCount,ReleaseUrl,Weekday,HourOfDay,IsWeekend,MajorVersion,MinorVersion,PatchVersion,ReleaseType
stackflow,170099417,@stackflow/plugin-preload@1.4.1,@stackflow/plugin-preload@1.4.1,2024-08-14T05:38:59Z,2024-08-14T23:38:59+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.4.1,Wednesday,14,FALSE,1,4,1,ScopedPackage
stackflow,170099415,@stackflow/plugin-map-initial-activity@1.0.10,@stackflow/plugin-map-initial-activity@1.0.10,2024-08-14T05:38:55Z,2024-08-14T23:38:55+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-map-initial-activity%401.0.10,Wednesday,14,FALSE,1,0,10,ScopedPackage
stackflow,170099422,@stackflow/plugin-history-sync@1.6.2,@stackflow/plugin-history-sync@1.6.2,2024-08-14T05:39:02Z,2024-08-14T23:39:02+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.6.2,Wednesday,14,FALSE,1,6,2,ScopedPackage
stackflow,170099411,@stackflow/plugin-google-analytics-4@1.1.14,@stackflow/plugin-google-analytics-4@1.1.14,2024-08-14T05:38:52Z,2024-08-14T23:38:52+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-google-analytics-4%401.1.14,Wednesday,14,FALSE,1,1,14,ScopedPackage
stackflow,170099406,@stackflow/plugin-devtools@0.1.11,@stackflow/plugin-devtools@0.1.11,2024-08-14T05:38:50Z,2024-08-14T23:38:50+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-devtools%400.1.11,Wednesday,14,FALSE,0,1,11,ScopedPackage
stackflow,170099401,@stackflow/plugin-basic-ui@1.9.1,@stackflow/plugin-basic-ui@1.9.1,2024-08-14T05:38:46Z,2024-08-14T23:38:46+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   @stackflow/react-ui-core@1.1.1
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.9.1,Wednesday,14,FALSE,1,9,1,ScopedPackage
stackflow,170099393,@stackflow/link@1.4.4,@stackflow/link@1.4.4,2024-08-14T05:38:43Z,2024-08-14T23:38:43+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.4.4,Wednesday,14,FALSE,1,4,4,ScopedPackage
stackflow,170099386,@stackflow/core@1.1.0,@stackflow/core@1.1.0,2024-08-14T05:38:38Z,2024-08-14T23:38:38+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   667570b: feat(core,react): add `targetActivityId` option
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.1.0,Wednesday,14,FALSE,1,1,0,ScopedPackage
stackflow,170099391,@stackflow/compat-await-push@1.1.12,@stackflow/compat-await-push@1.1.12,2024-08-14T05:38:40Z,2024-08-14T23:38:40+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/compat-await-push%401.1.12,Wednesday,14,FALSE,1,1,12,ScopedPackage
stackflow,169235168,@stackflow/react@1.2.2,@stackflow/react@1.2.2,2024-08-08T02:42:12Z,2024-08-08T20:42:12+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   5ac2798: [Future API] wrap loader return value with use() in useLoaderData()
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.2.2,Thursday,11,FALSE,1,2,2,ScopedPackage
stackflow,169235160,@stackflow/react-ui-core@1.1.0,@stackflow/react-ui-core@1.1.0,2024-08-08T02:42:09Z,2024-08-08T20:42:09+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   e3dbaac: Extract core react hooks as a ""@stackflow/react-ui-core"" package
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.1.0,Thursday,11,FALSE,1,1,0,ScopedPackage
stackflow,169244103,@stackflow/plugin-history-sync@1.6.1,@stackflow/plugin-history-sync@1.6.1,2024-08-08T03:53:13Z,2024-08-08T21:53:13+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   96ff22d: fix: enable cyclic dependency and fix promise return in loader
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.6.1,Thursday,12,FALSE,1,6,1,ScopedPackage
stackflow,169235155,@stackflow/plugin-basic-ui@1.9.0,@stackflow/plugin-basic-ui@1.9.0,2024-08-08T02:42:06Z,2024-08-08T20:42:06+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   e3dbaac: Extract core react hooks as a ""@stackflow/react-ui-core"" package

##",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.9.0,Thursday,11,FALSE,1,9,0,ScopedPackage
stackflow,169244099,@stackflow/core@1.0.14,@stackflow/core@1.0.14,2024-08-08T03:53:10Z,2024-08-08T21:53:10+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   96ff22d: fix: enable cyclic dependency and fix promise return in loader
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.0.14,Thursday,12,FALSE,1,0,14,ScopedPackage
stackflow,168359701,@stackflow/plugin-preload@1.4.0,@stackflow/plugin-preload@1.4.0,2024-08-02T01:22:05Z,2024-08-02T19:22:05+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   658510f: refactor(plugin-preload): moved a dependency from `dependencies` to ",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.4.0,Friday,10,FALSE,1,4,0,ScopedPackage
stackflow,168359697,@stackflow/plugin-basic-ui@1.8.4,@stackflow/plugin-basic-ui@1.8.4,2024-08-02T01:22:03Z,2024-08-02T19:22:03+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   3e8df1b: fix(plugin-basic-ui): calculate app screen height correctly with saf",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.8.4,Friday,10,FALSE,1,8,4,ScopedPackage
stackflow,168037322,@stackflow/react@1.2.1,@stackflow/react@1.2.1,2024-07-31T12:47:28Z,2024-08-01T06:47:28+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   fc2061a: Change `stack()` to `stackflow()` in Future API
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.2.1,Wednesday,21,FALSE,1,2,1,ScopedPackage
stackflow,168011256,@stackflow/react@1.2.0,@stackflow/react@1.2.0,2024-07-31T10:07:05Z,2024-08-01T04:07:05+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   7df613a: change extension esm package .mjs to .js
-   7df613a: Change package",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.2.0,Wednesday,19,FALSE,1,2,0,ScopedPackage
stackflow,168011240,@stackflow/plugin-renderer-web@1.1.11,@stackflow/plugin-renderer-web@1.1.11,2024-07-31T10:07:02Z,2024-08-01T04:07:02+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-web%401.1.11,Wednesday,19,FALSE,1,1,11,ScopedPackage
stackflow,168011233,@stackflow/plugin-renderer-basic@1.1.11,@stackflow/plugin-renderer-basic@1.1.11,2024-07-31T10:06:59Z,2024-08-01T04:06:59+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-basic%401.1.11,Wednesday,19,FALSE,1,1,11,ScopedPackage
stackflow,168011225,@stackflow/plugin-preload@1.3.3,@stackflow/plugin-preload@1.3.3,2024-07-31T10:06:56Z,2024-08-01T04:06:56+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   Updated dependencies [7df613a]
-   Updated dependencies [e9bb029]
-   Updated",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.3.3,Wednesday,19,FALSE,1,3,3,ScopedPackage
stackflow,168011219,@stackflow/plugin-map-initial-activity@1.0.9,@stackflow/plugin-map-initial-activity@1.0.9,2024-07-31T10:06:53Z,2024-08-01T04:06:53+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-map-initial-activity%401.0.9,Wednesday,19,FALSE,1,0,9,ScopedPackage
